"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test successful execution of the CLI command.","9","test_cli_successful_execution","tests.scripts","Mon Dec 08 06:19:45 UTC 2025","passed","Mon Dec 08 06:19:45 UTC 2025","TestMainCommand","get_zenodo_record_test","",""
"Test spectrum dataset specified initialisation.","599","test_dataset_spec_init","tests.unit_test.transformer_test","Mon Dec 08 06:18:28 UTC 2025","passed","Mon Dec 08 06:18:28 UTC 2025","","dataset_test","",""
"Test successful extraction of a zip file.","8","test_unzip_zenodo_success","tests.scripts","Mon Dec 08 06:19:45 UTC 2025","passed","Mon Dec 08 06:19:45 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Test with configuration that has existing values.","1","test_config_with_existing_values","tests.unit_test.utils_test","Mon Dec 08 06:19:37 UTC 2025","passed","Mon Dec 08 06:19:37 UTC 2025","TestEdgeCases","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli with no output path.","169","test_no_output_path[args2]","tests.unit_test","Mon Dec 08 06:18:31 UTC 2025","passed","Mon Dec 08 06:18:31 UTC 2025","","cli_test","",""
"Test when MPS is available and requested.","6","test_mps_available_and_requested","tests.unit_test.utils_test","Mon Dec 08 06:19:37 UTC 2025","passed","Mon Dec 08 06:19:37 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli.","1023","test_predict_transformer_pipeline","tests.unit_test","Mon Dec 08 06:18:43 UTC 2025","passed","Mon Dec 08 06:18:44 UTC 2025","","cli_test","",""
"Test residue set remapping update.","0","test_update_remapping","tests.unit_test.utils_test","Mon Dec 08 06:18:29 UTC 2025","passed","Mon Dec 08 06:18:29 UTC 2025","","residues_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting data path.","181","test_nonexisting_data_path[args2]","tests.unit_test","Mon Dec 08 06:18:35 UTC 2025","passed","Mon Dec 08 06:18:36 UTC 2025","","cli_test","",""
"Test CLI with different parameters.","8","test_cli_with_different_parameters[https://zenodo.org/records/12345/files/test.zip-other.zip-./other]","tests.scripts","Mon Dec 08 06:19:45 UTC 2025","passed","Mon Dec 08 06:19:45 UTC 2025","","get_zenodo_record_test","",""
"Test residue encoder.","0","test_encoder","tests.unit_test.utils_test","Mon Dec 08 06:18:29 UTC 2025","passed","Mon Dec 08 06:18:29 UTC 2025","","residues_test","",""
"Test spectrum preprocessing.","621","test_process_peaks","tests.unit_test.transformer_test","Mon Dec 08 06:18:28 UTC 2025","passed","Mon Dec 08 06:18:29 UTC 2025","","dataset_test","",""
"Test code to update an ipc file from the old format to the new format.","12","test_update_ipc_format","tests.unit_test.scripts_test","Mon Dec 08 06:19:37 UTC 2025","passed","Mon Dec 08 06:19:37 UTC 2025","","update_ipc_format_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config path.","18","test_predict_nonexisting_config_path[cli0]","tests.unit_test","Mon Dec 08 06:18:37 UTC 2025","passed","Mon Dec 08 06:18:37 UTC 2025","","cli_test","",""
"Test when MPS is requested but force_cpu is True.","6","test_mps_requested_but_force_cpu_set","tests.unit_test.utils_test","Mon Dec 08 06:19:37 UTC 2025","passed","Mon Dec 08 06:19:37 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Test applying config for CPU device.","1","test_apply_config_cpu_device","tests.unit_test.utils_test","Mon Dec 08 06:19:37 UTC 2025","passed","Mon Dec 08 06:19:37 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test transformer model inference.","905","test_transformer_model_inference","tests.integration","Mon Dec 08 06:19:31 UTC 2025","passed","Mon Dec 08 06:19:32 UTC 2025","","instanovo_model_test","",""
"Test mzml to parquet conversion.","20","test_mzml_to_parquet","tests.unit_test.utils_test","Mon Dec 08 06:19:36 UTC 2025","passed","Mon Dec 08 06:19:36 UTC 2025","","data_handler_test","",""
"Test getting local path for missing s3 file with missing_ok=True using S3FileHandler.","3","test_s3_file_handler_get_local_path_missing_ok","tests.unit_test.utils_test","Mon Dec 08 06:18:29 UTC 2025","passed","Mon Dec 08 06:18:29 UTC 2025","","s3_test","",""
"Test configuration updates for unknown device.","0","test_unknown_device","tests.unit_test.utils_test","Mon Dec 08 06:19:37 UTC 2025","passed","Mon Dec 08 06:19:37 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Tests setting of GCP credentials.","10","test_set_credentials","tests.unit_test.scripts_test","Mon Dec 08 06:18:57 UTC 2025","passed","Mon Dec 08 06:18:57 UTC 2025","","set_gcp_credentials_test","",""
