"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the 'predict' command of the instanovo cli with a file with a non-supported suffix.","170","test_instanovo_model_suffix[args1]","tests.unit_test","Thu Jun 04 13:45:05 UTC 2026","passed","Thu Jun 04 13:45:05 UTC 2026","","cli_test","",""
"Test full workflow on a CPU-only system.","4","test_full_workflow_cpu_only_system","tests.unit_test.utils_test","Thu Jun 04 13:45:24 UTC 2026","passed","Thu Jun 04 13:45:24 UTC 2026","TestIntegration","device_handler_test","",""
"Test mzml to parquet conversion.","16","test_mzml_to_parquet","tests.unit_test.utils_test","Thu Jun 04 13:46:21 UTC 2026","passed","Thu Jun 04 13:46:21 UTC 2026","","data_handler_test","",""
"Test applying config for CPU device.","1","test_apply_config_cpu_device","tests.unit_test.utils_test","Thu Jun 04 13:45:24 UTC 2026","passed","Thu Jun 04 13:45:24 UTC 2026","TestApplyDeviceConfig","device_handler_test","",""
"Test transformer inference for mzxml input.","839","test_mzxml_preds","tests.unit_test.transformer_test","Thu Jun 04 13:46:14 UTC 2026","passed","Thu Jun 04 13:46:15 UTC 2026","","predict_test","",""
"Test handling of request exception during download.","5","test_get_zenodo_request_exception","tests.scripts","Thu Jun 04 13:45:24 UTC 2026","passed","Thu Jun 04 13:45:24 UTC 2026","TestZenodoDownload","get_zenodo_record_test","",""
"Test transformer inference for parquet input.","905","test_parquet_preds","tests.unit_test.transformer_test","Thu Jun 04 13:46:16 UTC 2026","passed","Thu Jun 04 13:46:17 UTC 2026","","predict_test","",""
"Test configuration updates for CPU device.","0","test_cpu_config_updates","tests.unit_test.utils_test","Thu Jun 04 13:45:24 UTC 2026","passed","Thu Jun 04 13:45:24 UTC 2026","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test when both CUDA and MPS are available.","4","test_both_available","tests.unit_test.utils_test","Thu Jun 04 13:45:24 UTC 2026","passed","Thu Jun 04 13:45:24 UTC 2026","TestGetDeviceCapabilities","device_handler_test","",""
"Test when MPS is requested but not available.","4","test_mps_not_available_but_requested","tests.unit_test.utils_test","Thu Jun 04 13:45:24 UTC 2026","passed","Thu Jun 04 13:45:24 UTC 2026","TestValidateAndConfigureDevice","device_handler_test","",""
"Tests calculation of amino-acid level error-rate.","1","test_compute_aa_er","tests.unit_test.utils_test","Thu Jun 04 13:46:14 UTC 2026","passed","Thu Jun 04 13:46:14 UTC 2026","","metrics_test","",""
"Test linear warmup scheduler.","0","test_warmup_scheduler","tests.unit_test.transformer_test","Thu Jun 04 13:46:14 UTC 2026","passed","Thu Jun 04 13:46:14 UTC 2026","","train_test","",""
"Test residue sequence length.","0","test_length","tests.unit_test.utils_test","Thu Jun 04 13:45:24 UTC 2026","passed","Thu Jun 04 13:45:24 UTC 2026","","residues_test","",""
