"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests novor amino acid match algorithm.","1","test_novor_match","tests.unit_test.utils_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:19 UTC 2025","","metrics_test","",""
"Test the main command help text is displayed.","17","test_main_help[args3-Run predictions or train with only the diffusion-based InstaNovo+ model.]","tests.unit_test","Mon Dec 08 06:21:06 UTC 2025","passed","Mon Dec 08 06:21:06 UTC 2025","","cli_test","",""
"Test uploading local file to s3 using S3FileHandler.","6","test_s3_file_handler_upload","tests.unit_test.utils_test","Mon Dec 08 06:22:08 UTC 2025","passed","Mon Dec 08 06:22:08 UTC 2025","","s3_test","",""
"Test spectrum data frame basic initialisation.","1","test_init","tests.unit_test.utils_test","Mon Dec 08 06:21:52 UTC 2025","passed","Mon Dec 08 06:21:52 UTC 2025","","data_handler_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config name.","18","test_predict_nonexisting_config_name[cli2]","tests.unit_test","Mon Dec 08 06:20:51 UTC 2025","passed","Mon Dec 08 06:20:51 UTC 2025","","cli_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting data path.","179","test_nonexisting_data_path[args0]","tests.unit_test","Mon Dec 08 06:20:51 UTC 2025","passed","Mon Dec 08 06:20:51 UTC 2025","","cli_test","",""
"Test loading an InstaNovo model and doing inference end-to-end.","1594","test_transformer_model","tests.integration","Mon Dec 08 06:22:10 UTC 2025","passed","Mon Dec 08 06:22:11 UTC 2025","","instanovo_model_test","",""
"Test the version command.","21","test_version_command","tests.unit_test","Mon Dec 08 06:20:51 UTC 2025","passed","Mon Dec 08 06:20:51 UTC 2025","","cli_test","",""
"Test spectrum dataset collate function.","1","test_dataset_collate","tests.unit_test.transformer_test","Mon Dec 08 06:20:45 UTC 2025","passed","Mon Dec 08 06:20:45 UTC 2025","","dataset_test","",""
"Test when CUDA is available.","5","test_cuda_available","tests.unit_test.utils_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:19 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Test configuration updates for CUDA device.","0","test_cuda_config_updates","tests.unit_test.utils_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:19 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test successful download of a Zenodo record.","5","test_get_zenodo_success","tests.scripts","Mon Dec 08 06:22:16 UTC 2025","passed","Mon Dec 08 06:22:16 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Tests precision-recall curve calculations.","82","test_get_pr_curve","tests.unit_test.utils_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:19 UTC 2025","","metrics_test","",""
"Test function that checks if a sequence matches the precursor mass within some tolerance.","1","test_precursor_match","tests.unit_test.utils_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:19 UTC 2025","","metrics_test","",""
"Test check_device with config parameter.","2","test_check_device_with_config","tests.unit_test.utils_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:19 UTC 2025","TestCheckDeviceBackwardCompatibility","device_handler_test","",""
"Test linear warmup scheduler.","1482","test_warmup_scheduler","tests.unit_test.transformer_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:21 UTC 2025","","train_test","",""
"Test check_device with None config.","2","test_check_device_none_config","tests.unit_test.utils_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:19 UTC 2025","TestCheckDeviceBackwardCompatibility","device_handler_test","",""
"Test applying config for CPU device.","0","test_apply_config_cpu_device","tests.unit_test.utils_test","Mon Dec 08 06:21:19 UTC 2025","passed","Mon Dec 08 06:21:19 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test spectrum data frame specified initialisation.","2","test_spec_init","tests.unit_test.utils_test","Mon Dec 08 06:21:52 UTC 2025","passed","Mon Dec 08 06:21:52 UTC 2025","","data_handler_test","",""
