"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test the version command.","22","test_version_command","tests.unit_test","Mon Dec 08 06:21:04 UTC 2025","passed","Mon Dec 08 06:21:04 UTC 2025","","cli_test","",""
"Test mzxml to parquet conversion.","15","test_mzxml_to_parquet","tests.unit_test.utils_test","Mon Dec 08 06:21:26 UTC 2025","passed","Mon Dec 08 06:21:26 UTC 2025","","data_handler_test","",""
"Test getting local path for missing s3 file using S3FileHandler.","4","test_s3_file_handler_get_local_path_missing","tests.unit_test.utils_test","Mon Dec 08 06:20:31 UTC 2025","passed","Mon Dec 08 06:20:31 UTC 2025","","s3_test","",""
"Test successful execution of the CLI command.","9","test_cli_successful_execution","tests.scripts","Mon Dec 08 06:21:26 UTC 2025","passed","Mon Dec 08 06:21:26 UTC 2025","TestMainCommand","get_zenodo_record_test","",""
"Test data handler error catching.","2","test_errors","tests.unit_test.utils_test","Mon Dec 08 06:21:26 UTC 2025","passed","Mon Dec 08 06:21:26 UTC 2025","","data_handler_test","",""
"Test diffusion model inference.","4602","test_diffusion_model_inference_refinement","tests.integration","Mon Dec 08 06:20:32 UTC 2025","passed","Mon Dec 08 06:20:37 UTC 2025","","instanovoplus_model_test","",""
"Test CLI with different parameters.","8","test_cli_with_different_parameters[https://zenodo.org/records/17816199/files/custom.zip-custom.zip-./custom]","tests.scripts","Mon Dec 08 06:21:26 UTC 2025","passed","Mon Dec 08 06:21:26 UTC 2025","","get_zenodo_record_test","",""
"Test configuration updates for MPS device.","1","test_mps_config_updates","tests.unit_test.utils_test","Mon Dec 08 06:22:10 UTC 2025","passed","Mon Dec 08 06:22:10 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test when both CUDA and MPS are available.","9","test_both_available","tests.unit_test.utils_test","Mon Dec 08 06:22:10 UTC 2025","passed","Mon Dec 08 06:22:10 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Test transformer inference when dropping a row.","1864","test_row_drop","tests.unit_test.transformer_test","Mon Dec 08 06:21:34 UTC 2025","passed","Mon Dec 08 06:21:36 UTC 2025","","predict_test","",""
"Test the 'diffusion predict' command of the instanovo_cli.","3230","test_predict_diffusion","tests.unit_test","Mon Dec 08 06:21:05 UTC 2025","passed","Mon Dec 08 06:21:08 UTC 2025","","cli_test","",""
