"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test when MPS is requested but not available.","5","test_mps_not_available_but_requested","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestValidateAndConfigureDevice","device_handler_test","",""
"Test diffusion model inference.","2172","test_diffusion_model_inference_refinement","tests.integration","Fri Dec 05 19:54:01 UTC 2025","passed","Fri Dec 05 19:54:03 UTC 2025","","instanovoplus_model_test","",""
"Test the main command help text is displayed.","18","test_main_help[args3-Run predictions or train with only the diffusion-based InstaNovo+ model.]","tests.unit_test","Fri Dec 05 19:54:15 UTC 2025","passed","Fri Dec 05 19:54:15 UTC 2025","","cli_test","",""
"Test residue sequence mass.","0","test_get_sequence_mass","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","residues_test","",""
"Tests converting and saving an input file to a parquet file using the CLI.","36","test_convert_command","tests.unit_test.scripts_test","Fri Dec 05 19:53:31 UTC 2025","passed","Fri Dec 05 19:53:31 UTC 2025","","convert_to_sdf_test","",""
"Test greedy decoder initialisation.","0","test_greedy_decoder","tests.unit_test.inference_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","greedy_search_test","",""
"Tests novor amino acid match algorithm.","0","test_novor_match","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test main function with different parameters.","6","test_main_with_parameters","tests.scripts","Fri Dec 05 19:53:45 UTC 2025","passed","Fri Dec 05 19:53:45 UTC 2025","TestMainCommand","get_zenodo_record_test","",""
"Test configuration updates for CPU device.","1","test_cpu_config_updates","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestGetDeviceConfigUpdates","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config path.","11","test_predict_nonexisting_config_path[cli2]","tests.unit_test","Fri Dec 05 19:54:12 UTC 2025","passed","Fri Dec 05 19:54:12 UTC 2025","","cli_test","",""
"Test when both CUDA and MPS are available.","8","test_both_available","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Test diffusion model inference.","3106","test_diffusion_model_inference","tests.integration","Fri Dec 05 19:53:58 UTC 2025","passed","Fri Dec 05 19:54:01 UTC 2025","","instanovoplus_model_test","",""
"Test handling of request exception during download.","4","test_get_zenodo_request_exception","tests.scripts","Fri Dec 05 19:53:45 UTC 2025","passed","Fri Dec 05 19:53:45 UTC 2025","TestZenodoDownload","get_zenodo_record_test","",""
"Test transformer inference for parquet input.","856","test_parquet_preds","tests.unit_test.transformer_test","Fri Dec 05 19:53:51 UTC 2025","passed","Fri Dec 05 19:53:51 UTC 2025","","predict_test","",""
"Test CLI with different parameters.","7","test_cli_with_different_parameters[https://zenodo.org/records/17816199/files/custom.zip-custom.zip-./custom]","tests.scripts","Fri Dec 05 19:53:45 UTC 2025","passed","Fri Dec 05 19:53:45 UTC 2025","","get_zenodo_record_test","",""
"Test the 'predict' command of the instanovo plus cli with a non existing file.","177","test_instanovoplus_model[args0-.txt-\\*.ckpt, \\*.yaml, \\*.pt]","tests.unit_test","Fri Dec 05 19:54:12 UTC 2025","passed","Fri Dec 05 19:54:13 UTC 2025","","cli_test","",""
"Tests mass error calculation.","0","test_calc_mass_error","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test the 'predict' command of the instanovo_cli with a nonexisting config path.","10","test_predict_nonexisting_config_path[cli1]","tests.unit_test","Fri Dec 05 19:54:16 UTC 2025","passed","Fri Dec 05 19:54:16 UTC 2025","","cli_test","",""
"Tests splitting of sequence.","0","test_split_sequences","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test the main command help text is displayed.","20","test_main_help[args2-Run predictions or train with only the transformer-based InstaNovo model.]","tests.unit_test","Fri Dec 05 19:54:20 UTC 2025","passed","Fri Dec 05 19:54:21 UTC 2025","","cli_test","",""
"Test transformer inference for mzxml input.","807","test_mzxml_preds","tests.unit_test.transformer_test","Fri Dec 05 19:53:48 UTC 2025","passed","Fri Dec 05 19:53:49 UTC 2025","","predict_test","",""
"Test getting local path for missing s3 file with missing_ok=True using S3FileHandler.","3","test_s3_file_handler_get_local_path_missing_ok","tests.unit_test.utils_test","Fri Dec 05 19:53:46 UTC 2025","passed","Fri Dec 05 19:53:46 UTC 2025","","s3_test","",""
"Test positional encoding errors.","1","test_pos_enc_errors","tests.unit_test.transformer_test","Fri Dec 05 19:52:38 UTC 2025","passed","Fri Dec 05 19:52:38 UTC 2025","","layers_test","",""
"Test residue sequence length.","0","test_length","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","residues_test","",""
"Test code to update an ipc file from the old format to the new format.","9","test_update_ipc_format","tests.unit_test.scripts_test","Fri Dec 05 19:52:56 UTC 2025","passed","Fri Dec 05 19:52:56 UTC 2025","","update_ipc_format_test","",""
"Tests calculation of amino-acid level error-rate.","1","test_compute_aa_er","tests.unit_test.utils_test","Fri Dec 05 19:53:36 UTC 2025","passed","Fri Dec 05 19:53:36 UTC 2025","","metrics_test","",""
"Test full workflow on a system with CUDA.","5","test_full_workflow_cuda_system","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestIntegration","device_handler_test","",""
"Test check_device without config parameter.","2","test_check_device_no_config","tests.unit_test.utils_test","Fri Dec 05 19:53:56 UTC 2025","passed","Fri Dec 05 19:53:56 UTC 2025","TestCheckDeviceBackwardCompatibility","device_handler_test","",""
