"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Tests amino acid mass sum.","0","test_mass","tests.unit_test.utils_test","Fri Apr 10 22:49:44 UTC 2026","passed","Fri Apr 10 22:49:44 UTC 2026","","metrics_test","",""
"Test the neptune summary writer function.","3","test_neptune_summary_writer","tests.unit_test.transformer_test","Fri Apr 10 22:49:44 UTC 2026","passed","Fri Apr 10 22:49:44 UTC 2026","","train_test","",""
"Test when MPS is available and requested.","4","test_mps_available_and_requested","tests.unit_test.utils_test","Fri Apr 10 22:49:24 UTC 2026","passed","Fri Apr 10 22:49:24 UTC 2026","TestValidateAndConfigureDevice","device_handler_test","",""
"Test CLI skips download when target directory exists with matching record ID.","3","test_cli_skips_when_directory_exists","tests.scripts","Fri Apr 10 22:48:39 UTC 2026","passed","Fri Apr 10 22:48:39 UTC 2026","TestMainCommand","get_zenodo_record_test","",""
"Test training an InstaNovo model and doing inference end-to-end.","0","test_train_model","tests.integration","Fri Apr 10 22:50:20 UTC 2026","skipped","Fri Apr 10 22:50:20 UTC 2026","","instanovo_model_train_test","",""
"Test data handler error catching.","2","test_errors","tests.unit_test.utils_test","Fri Apr 10 22:48:39 UTC 2026","passed","Fri Apr 10 22:48:39 UTC 2026","","data_handler_test","",""
"Tests calculation of peptide-level AUC.","81","test_calc_auc","tests.unit_test.utils_test","Fri Apr 10 22:49:44 UTC 2026","passed","Fri Apr 10 22:49:44 UTC 2026","","metrics_test","",""
"Test the main command help text is displayed.","18","test_main_help[args3-Run predictions or train with only the diffusion-based InstaNovo+ model.]","tests.unit_test","Fri Apr 10 22:49:24 UTC 2026","passed","Fri Apr 10 22:49:24 UTC 2026","","cli_test","",""
"Test when both CUDA and MPS are available.","5","test_both_available","tests.unit_test.utils_test","Fri Apr 10 22:49:24 UTC 2026","passed","Fri Apr 10 22:49:24 UTC 2026","TestGetDeviceCapabilities","device_handler_test","",""
"Test the 'predict' command of the instanovo_cli.","1313","test_predict_transformer_pipeline","tests.unit_test","Fri Apr 10 22:49:11 UTC 2026","passed","Fri Apr 10 22:49:12 UTC 2026","","cli_test","",""
"Test device detection when only MPS is available.","1","test_detect_mps","tests.unit_test.utils_test","Fri Apr 10 22:49:24 UTC 2026","passed","Fri Apr 10 22:49:24 UTC 2026","TestDetectDevice","device_handler_test","",""
"Test data checker.","2","test_check_type_spec","tests.unit_test.utils_test","Fri Apr 10 22:48:39 UTC 2026","passed","Fri Apr 10 22:48:39 UTC 2026","","data_handler_test","",""
"Test transformer inference with beam search.","870","test_preds_with_beam","tests.unit_test.transformer_test","Fri Apr 10 22:49:28 UTC 2026","passed","Fri Apr 10 22:49:29 UTC 2026","","predict_test","",""
"Test mzxml to parquet conversion.","24","test_mzxml_to_parquet","tests.unit_test.utils_test","Fri Apr 10 22:48:39 UTC 2026","passed","Fri Apr 10 22:48:39 UTC 2026","","data_handler_test","",""
"Test positional encoding default initialisation.","1","test_pos_enc","tests.unit_test.transformer_test","Fri Apr 10 22:50:20 UTC 2026","passed","Fri Apr 10 22:50:20 UTC 2026","","layers_test","",""
"Test the 'predict' command of the instanovo_cli with no output path.","194","test_no_output_path[args2]","tests.unit_test","Fri Apr 10 22:49:24 UTC 2026","passed","Fri Apr 10 22:49:24 UTC 2026","","cli_test","",""
"Tests mass error calculation.","0","test_calc_mass_error","tests.unit_test.utils_test","Fri Apr 10 22:49:44 UTC 2026","passed","Fri Apr 10 22:49:44 UTC 2026","","metrics_test","",""
"Test transformer inference for mzxml input.","803","test_mzxml_preds","tests.unit_test.transformer_test","Fri Apr 10 22:49:30 UTC 2026","passed","Fri Apr 10 22:49:30 UTC 2026","","predict_test","",""
"Test multi scale peak embedding initialisation.","2","test_peak_embed","tests.unit_test.transformer_test","Fri Apr 10 22:50:20 UTC 2026","passed","Fri Apr 10 22:50:20 UTC 2026","","layers_test","",""
"Test that CUDA is preferred over MPS when both are available.","2","test_cuda_priority_over_mps","tests.unit_test.utils_test","Fri Apr 10 22:49:24 UTC 2026","passed","Fri Apr 10 22:49:24 UTC 2026","TestDetectDevice","device_handler_test","",""
