"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Test transformer inference for parquet input.","864","test_parquet_preds","tests.unit_test.transformer_test","Fri Dec 05 23:38:58 UTC 2025","passed","Fri Dec 05 23:38:59 UTC 2025","","predict_test","",""
"Test positional encoding errors.","1","test_pos_enc_errors","tests.unit_test.transformer_test","Fri Dec 05 23:39:19 UTC 2025","passed","Fri Dec 05 23:39:19 UTC 2025","","layers_test","",""
"Test spectrum dataset error catching.","15","test_spectrum_errors","tests.unit_test.transformer_test","Fri Dec 05 23:39:05 UTC 2025","passed","Fri Dec 05 23:39:05 UTC 2025","","dataset_test","",""
"Test spectrum dataset collate function.","1","test_dataset_collate","tests.unit_test.transformer_test","Fri Dec 05 23:39:05 UTC 2025","passed","Fri Dec 05 23:39:05 UTC 2025","","dataset_test","",""
"Tests amino acid mass sum.","1","test_mass","tests.unit_test.utils_test","Fri Dec 05 23:39:24 UTC 2025","passed","Fri Dec 05 23:39:24 UTC 2025","","metrics_test","",""
"Test applying config with specified device.","1","test_apply_config_specified_device","tests.unit_test.utils_test","Fri Dec 05 23:39:28 UTC 2025","passed","Fri Dec 05 23:39:28 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Test when neither CUDA nor MPS are available.","4","test_neither_available","tests.unit_test.utils_test","Fri Dec 05 23:39:28 UTC 2025","passed","Fri Dec 05 23:39:28 UTC 2025","TestGetDeviceCapabilities","device_handler_test","",""
"Test residue set remapping update.","0","test_update_remapping","tests.unit_test.utils_test","Fri Dec 05 23:38:26 UTC 2025","passed","Fri Dec 05 23:38:26 UTC 2025","","residues_test","",""
"Test getting local path for missing s3 file using S3FileHandler.","5","test_s3_file_handler_get_local_path_missing","tests.unit_test.utils_test","Fri Dec 05 23:38:25 UTC 2025","passed","Fri Dec 05 23:38:25 UTC 2025","","s3_test","",""
"Test full workflow on a system with MPS.","5","test_full_workflow_mps_system","tests.unit_test.utils_test","Fri Dec 05 23:39:28 UTC 2025","passed","Fri Dec 05 23:39:28 UTC 2025","TestIntegration","device_handler_test","",""
"Test transformer inference for mzxml input.","822","test_mzxml_preds","tests.unit_test.transformer_test","Fri Dec 05 23:39:03 UTC 2025","passed","Fri Dec 05 23:39:04 UTC 2025","","predict_test","",""
"Test residue encoder.","1","test_encoder","tests.unit_test.utils_test","Fri Dec 05 23:38:26 UTC 2025","passed","Fri Dec 05 23:38:26 UTC 2025","","residues_test","",""
"Test positional encoding specified initialisation.","1","test_pos_enc_spec","tests.unit_test.transformer_test","Fri Dec 05 23:39:19 UTC 2025","passed","Fri Dec 05 23:39:19 UTC 2025","","layers_test","",""
"Test applying config when model section already exists.","2","test_apply_config_existing_model_section","tests.unit_test.utils_test","Fri Dec 05 23:39:28 UTC 2025","passed","Fri Dec 05 23:39:28 UTC 2025","TestApplyDeviceConfig","device_handler_test","",""
"Tests splitting of sequence.","1","test_split_sequences","tests.unit_test.utils_test","Fri Dec 05 23:39:23 UTC 2025","passed","Fri Dec 05 23:39:23 UTC 2025","","metrics_test","",""
"Test knapsack beam search decoder loader.","235","test_from_file","tests.unit_test.inference_test","Fri Dec 05 23:38:26 UTC 2025","passed","Fri Dec 05 23:38:27 UTC 2025","","knapsack_beam_search_test","",""
"Test uploading local file to s3 using S3FileHandler.","6","test_s3_file_handler_upload","tests.unit_test.utils_test","Fri Dec 05 23:38:26 UTC 2025","passed","Fri Dec 05 23:38:26 UTC 2025","","s3_test","",""
"Test multi scale peak embedding initialisation.","1","test_peak_embed","tests.unit_test.transformer_test","Fri Dec 05 23:39:19 UTC 2025","passed","Fri Dec 05 23:39:19 UTC 2025","","layers_test","",""
